Date,Sensex_Price,Sensex_Open,Sensex_High,Sensex_Low,Vol.,Change %
28/03/2024,73651.35,73149.34,74190.31,73120.33,14.88M,0.90%
27/03/2024,72996.31,72692.16,73138.73,72600.73,9.38M,0.73%
26/03/2024,72470.3,72396.97,72705.29,72363.03,30.62M,-0.50%
22/03/2024,72831.94,72231.66,73115.62,72172.09,26.08M,0.26%
21/03/2024,72641.19,72507.36,72882.46,72416.03,12.94M,0.75%
20/03/2024,72101.69,72036.86,72402.67,71674.42,8.28M,0.12%
19/03/2024,72012.05,72462.94,72490.09,71933.35,38.39M,-1.01%
18/03/2024,72748.42,72587.3,72985.89,72314.16,11.02M,0.14%
15/03/2024,72643.43,72886.77,72998.07,72484.82,22.32M,-0.62%
14/03/2024,73097.28,72570.1,73364.3,72497.19,9.99M,0.46%
13/03/2024,72761.89,73993.4,74052.75,72515.71,452.05M,-1.23%
12/03/2024,73667.96,73516.42,74004.16,73342.12,9.63M,0.22%
11/03/2024,73502.64,74175.93,74187.35,73433.91,9.80M,-0.83%
7/03/2024,74119.39,74242.74,74245.17,73921.48,15.97M,0.05%
6/03/2024,74085.99,73587.7,74151.27,73321.48,13.29M,0.55%
5/03/2024,73677.13,73767.42,73915.54,73412.25,21.23M,-0.26%
4/03/2024,73872.29,73903.09,73990.13,73747.01,14.19M,0.09%
2/03/2024,73806.15,73848.19,73994.7,73778.14,2.96M,0.08%
1/03/2024,73745.35,72606.31,73819.21,72591.14,20.65M,1.72%
29/02/2024,72500.3,72220.57,72730,72099.32,18.55M,0.27%
28/02/2024,72304.88,73162.82,73223.11,72222.29,6.17M,-1.08%
27/02/2024,73095.22,72723.53,73161.3,72660.13,8.26M,0.42%
26/02/2024,72790.13,73044.81,73092.26,72666.82,7.87M,-0.48%
23/02/2024,73142.8,73394.44,73413.93,73022,11.95M,-0.02%
22/02/2024,73158.24,72677.42,73256.39,72082.72,9.13K,0.74%
21/02/2024,72623.09,73267.93,73267.93,72450.74,13.91K,-0.59%
