Date,Info_Price,Info_Open,Info_High,Info_Low,Vol.,Change %
28/03/2024,1495,1560.55,1511.45,1487.6,373.62K,0.73%
27/03/2024,1484.1,1495,1499,1482,146.37K,-0.56%
26/03/2024,1492.45,1497.85,1507.75,1488,222.38K,-1.09%
22/03/2024,1508.85,1517.95,1529,1497.65,6.02M,-2.98%
21/03/2024,1555.2,1560.55,1576.45,1544,128.75K,0.04%
20/03/2024,1554.6,1562,1573.85,1552.6,129.55K,-0.47%
19/03/2024,1561.95,1595.6,1599,1558.1,233.10K,-2.52%
18/03/2024,1602.3,1632.05,1632.65,1599,168.20K,-1.99%
15/03/2024,1634.9,1644.45,1647,1618.5,309.80K,-1.06%
14/03/2024,1652.45,1612.05,1657,1607.25,254.87K,2.53%
13/03/2024,1611.7,1612.3,1624.85,1598.3,240.98K,-0.03%
12/03/2024,1612.2,1598.5,1624.95,1598.05,180.28K,0.80%
11/03/2024,1599.45,1608.9,1612.25,1588,201.77K,-0.77%
7/03/2024,1611.9,1617.3,1628.45,1605,172.25K,-0.33%
6/03/2024,1617.3,1600.1,1619.95,1576.1,257.85K,0.69%
5/03/2024,1606.2,1633.65,1636.6,1602.1,314.32K,-1.93%
4/03/2024,1637.85,1655.75,1662.25,1633.2,291.65K,-1.05%
2/03/2024,1655.2,1662,1665,1653.75,14.42K,0.01%
1/03/2024,1655.05,1672.05,1672.5,1652,324.75K,-1.19%
29/02/2024,1675.05,1655.15,1682,1653.5,79.12K,0.30%
28/02/2024,1670.1,1672,1687.5,1662.4,193.13K,0.32%
27/02/2024,1664.75,1655.2,1670.95,1653,99.51K,0.37%
26/02/2024,1658.65,1672.7,1674.5,1645,144.86K,-1.09%
23/02/2024,1677,1695.6,1698.6,1672,221.21K,-0.19%
22/02/2024,1680.25,1663.3,1684.35,1644.85,184.80K,1.46%
21/02/2024,1656.05,1676.8,1676.8,1645.3,178.00K,-1.67%
20/02/2024,1684.15,1688.05,1693.45,1668.7,114.35K,-0.90%
19/02/2024,1699.45,1702.55,1710.95,1687.15,147.43K,-0.17%
16/02/2024,1702.4,1688,1708.95,1681.05,490.10K,1.48%
15/02/2024,1677.6,1673.9,1686.75,1662,236.64K,0.70%
14/02/2024,1666,1660.95,1668.8,1635.35,358.92K,-1.10%
13/02/2024,1684.6,1680.15,1689,1663.75,44.65K,0.29%
12/02/2024,1679.8,1670.15,1692.5,1670.15,269.13K,0.61%
9/02/2024,1669.65,1685.9,1692,1659.3,304.92K,-1.39%
8/02/2024,1693.2,1695.05,1706.2,1682.8,95.36K,-0.03%
7/02/2024,1693.7,1729.25,1729.25,1686.9,197.57K,-2.06%
6/02/2024,1729.25,1680.05,1731,1673.65,202.89K,2.52%
5/02/2024,1686.75,1686.1,1700.5,1681,148.47K,-0.42%
2/02/2024,1693.85,1662.25,1718.6,1662.25,592.33K,2.26%
1/02/2024,1656.45,1660,1677,1650.15,144.32K,-0.34%
31/01/2024,1662.1,1645.05,1666,1637.95,46.04K,0.68%
30/01/2024,1650.8,1655.9,1689.9,1647.95,98.68K,-0.31%
29/01/2024,1655.9,1665.25,1679.25,1647.05,67.98K,-0.89%
25/01/2024,1670.8,1668.15,1680.45,1657.65,1.21M,-0.22%
24/01/2024,1674.5,1655.2,1679.8,1644.3,1.14M,1.97%
23/01/2024,1642.2,1645.15,1675,1637.5,112.60K,-0.40%
20/01/2024,1648.75,1661.5,1668.9,1644.65,39.65K,-0.61%
19/01/2024,1658.95,1650,1665,1644.25,626.39K,1.00%
18/01/2024,1642.6,1638.45,1647,1628.5,179.96K,0.16%
17/01/2024,1639.9,1620,1646.95,1620,113.06K,0.55%
16/01/2024,1630.95,1647.75,1648,1625.7,103.62K,-1.27%
15/01/2024,1652,1630.05,1664.9,1630.05,314.43K,2.47%
12/01/2024,1612.2,1556,1615.8,1554.75,3.16M,7.84%
11/01/2024,1495,1523,1525.25,1486.65,356.02K,-1.62%
10/01/2024,1519.65,1528.85,1536.75,1505.1,204.91K,-0.62%
9/01/2024,1529.15,1541,1552.9,1526.2,354.87K,0.41%
8/01/2024,1522.95,1526.8,1535.85,1513.2,212.97K,-0.65%
5/01/2024,1532.9,1508.6,1539.85,1507.5,450.79K,1.37%
4/01/2024,1512.2,1502.9,1519.65,1493.05,440.79K,1.48%
3/01/2024,1490.2,1518.35,1524.6,1488.25,609.18K,-2.92%
2/01/2024,1534.95,1547.35,1548.5,1523,309.58K,-1.05%
1/01/2024,1551.25,1542,1557,1536.9,113.50K,0.54%
29/12/2023,1542.85,1549.95,1555,1539.2,864.76K,-1.29%
28/12/2023,1563,1567.95,1568.95,1555,84.57K,-0.22%
27/12/2023,1566.5,1547.95,1569.95,1545.65,323.69K,1.42%
26/12/2023,1544.5,1531,1548,1522.5,239.76K,-1.12%
22/12/2023,1562,1544.95,1565.9,1523.4,610.06K,1.68%
21/12/2023,1536.25,1516.4,1546,1516.4,196.36K,0.03%
20/12/2023,1535.75,1563.35,1583.35,1529.45,144.82K,-1.37%
19/12/2023,1557.05,1568.4,1573,1543.55,135.29K,-0.43%
18/12/2023,1563.75,1571,1593,1560.05,387.26K,-0.98%
15/12/2023,1579.25,1520.1,1588.5,1520.1,843.13K,5.20%
14/12/2023,1501.25,1465.65,1510,1461.25,331.22K,3.61%
13/12/2023,1448.9,1477.2,1477.25,1432.65,251.02K,-1.84%
12/12/2023,1476,1475,1489.95,1467.5,374.72K,-0.85%
11/12/2023,1488.6,1490,1499,1485.1,69.26K,-0.13%
8/12/2023,1490.6,1472.95,1493.6,1466.35,782.85K,1.67%
7/12/2023,1466.15,1474.1,1474.1,1462,94.90K,-0.54%
6/12/2023,1474.1,1454.05,1477,1451.2,167.36K,1.40%
5/12/2023,1453.7,1464.35,1466.95,1442.2,326.85K,-0.73%
4/12/2023,1464.45,1460,1471.45,1449.35,123.08K,0.84%
1/12/2023,1452.25,1457.65,1460.4,1446.05,697.94K,-0.21%
30/11/2023,1455.3,1455.95,1460.8,1449.9,198.38K,-0.26%
29/11/2023,1459.1,1448.25,1459.95,1448.25,239.20K,1.11%
28/11/2023,1443.05,1444,1445.35,1427.5,49.26K,0.42%
24/11/2023,1436.95,1443.45,1452.6,1433.65,365.78K,-0.88%
23/11/2023,1449.75,1465,1465.95,1448,155.33K,-0.55%
22/11/2023,1457.7,1431.05,1459,1431.05,228.31K,1.27%
21/11/2023,1439.4,1441.05,1449,1436.4,38.09K,0.22%
20/11/2023,1436.3,1438.15,1451.8,1433.2,138.67K,-0.09%
17/11/2023,1437.65,1442.95,1451,1434.75,261.50K,-0.43%
16/11/2023,1443.9,1411.35,1453.35,1410.3,629.06K,2.32%
15/11/2023,1411.15,1386.05,1413.1,1386.05,306.20K,2.69%
13/11/2023,1374.15,1378.6,1382.85,1370.7,134.43K,-1.00%
12/11/2023,1388.05,1378.25,1389.5,1378.25,27.36K,1.41%
10/11/2023,1368.7,1371,1373.2,1361.2,477.07K,-0.47%
9/11/2023,1375.15,1392.1,1395.25,1370.3,568.33K,-1.22%
8/11/2023,1392.1,1404.35,1415.05,1386.75,340.95K,-0.87%
7/11/2023,1404.35,1402.5,1405.85,1395.3,101.78K,0.02%
6/11/2023,1404,1393.65,1406.35,1390.55,298.40K,1.07%
3/11/2023,1389.1,1375.1,1392,1375.1,691.56K,1.36%
2/11/2023,1370.45,1371.45,1375.8,1361.6,301.88K,1.25%
1/11/2023,1353.55,1370.35,1375.65,1352,314.94K,-1.10%
31/10/2023,1368.65,1378.05,1381.8,1362.7,128.12K,-0.63%
30/10/2023,1377.3,1380.65,1380.65,1362.9,100.81K,-0.24%
27/10/2023,1380.65,1364.9,1385.55,1364.9,375.30K,1.68%
26/10/2023,1357.8,1359.95,1374.45,1353.85,659.51K,-0.90%
25/10/2023,1370.1,1402.85,1402.85,1362,315.07K,-2.76%
23/10/2023,1408.95,1426.4,1432,1405.35,75.88K,-1.28%
20/10/2023,1427.2,1431.95,1438.3,1424.8,583.81K,-0.44%
