Date,Repo Rate, Reverse Repo Rate, Consumer Price Index,GDP rate
28/03/2024,6.5,3.35,5.69,8.4
27/03/2024,6.5,3.35,5.69,8.4
26/03/2024,6.5,3.35,5.69,8.4
22/03/2024,6.5,3.35,5.69,8.4
21/03/2024,6.5,3.35,5.69,8.4
20/03/2024,6.5,3.35,5.69,8.4
19/03/2024,6.5,3.35,5.69,8.4
18/03/2024,6.5,3.35,5.69,8.4
15/03/2024,6.5,3.35,5.69,8.4
14/03/2024,6.5,3.35,5.69,8.4
13/03/2024,6.5,3.35,5.69,8.4
12/03/2024,6.5,3.35,5.69,8.4
11/03/2024,6.5,3.35,5.69,8.4
7/03/2024,6.5,3.35,5.69,8.4
6/03/2024,6.5,3.35,5.69,8.4
5/03/2024,6.5,3.35,5.69,8.4
4/03/2024,6.5,3.35,5.69,8.4
2/03/2024,6.5,3.35,5.69,8.4
1/03/2024,6.5,3.35,5.69,8.4
29/02/2024,6.5,3.35,5.69,8.4
28/02/2024,6.5,3.35,5.69,8.4
27/02/2024,6.5,3.35,5.69,8.4
26/02/2024,6.5,3.35,5.69,8.4
23/02/2024,6.5,3.35,5.69,8.4
22/02/2024,6.5,3.35,5.69,8.4
21/02/2024,6.5,3.35,5.69,8.4
20/02/2024,6.5,3.35,5.69,8.4
19/02/2024,6.5,3.35,5.69,8.4
16/02/2024,6.5,3.35,5.69,8.4
15/02/2024,6.5,3.35,5.69,8.4
14/02/2024,6.5,3.35,5.69,8.4
13/02/2024,6.5,3.35,5.69,8.4
12/02/2024,6.5,3.35,5.69,8.4
9/02/2024,6.5,3.35,5.69,8.4
8/02/2024,6.5,3.35,5.69,8.4
7/02/2024,6.5,3.35,5.69,8.4
6/02/2024,6.5,3.35,5.69,8.4
5/02/2024,6.5,3.35,5.69,8.4
2/02/2024,6.5,3.35,5.69,8.4
1/02/2024,6.5,3.35,5.69,8.4
31/01/2024,6.5,3.35,5.69,8.4
30/01/2024,6.5,3.35,5.69,8.4
29/01/2024,6.5,3.35,5.69,8.4
25/01/2024,6.5,3.35,5.69,8.4
24/01/2024,6.5,3.35,5.69,8.4
23/01/2024,6.5,3.35,5.69,8.4
20/01/2024,6.5,3.35,5.69,8.4
19/01/2024,6.5,3.35,5.69,8.4
18/01/2024,6.5,3.35,5.69,8.4
17/01/2024,6.5,3.35,5.69,8.4
16/01/2024,6.5,3.35,5.69,8.4
15/01/2024,6.5,3.35,5.69,8.4
