Date,INR_Price,INR_Open,INR_High,INR_Low,Vol.,Change %
29/03/2024,83.35,83.391,83.399,83.335,,0.00%
28/03/2024,83.352,83.373,83.424,83.31,,0.07%
27/03/2024,83.294,83.365,83.48,83.291,,-0.02%
26/03/2024,83.309,83.415,83.441,83.254,,-0.12%
25/03/2024,83.405,83.465,83.548,83.384,,-0.21%
22/03/2024,83.582,83.232,83.733,83.206,,0.49%
21/03/2024,83.174,83.117,83.235,83.034,,0.00%
20/03/2024,83.173,83.053,83.233,82.99,,0.20%
19/03/2024,83.007,82.935,83.063,82.899,,0.13%
18/03/2024,82.9,82.891,82.935,82.825,,0.02%
15/03/2024,82.883,82.99,82.995,82.817,,-0.04%
14/03/2024,82.915,82.827,82.952,82.803,,0.11%
13/03/2024,82.82,82.83,82.923,82.774,,0.04%
12/03/2024,82.786,82.739,82.839,82.72,,0.08%
11/03/2024,82.72,82.754,82.782,82.645,,-0.02%
8/03/2024,82.739,82.713,82.77,82.66,,0.04%
7/03/2024,82.708,82.82,82.85,82.669,,-0.09%
6/03/2024,82.78,82.896,82.919,82.801,,-0.13%
5/03/2024,82.891,82.913,82.938,82.863,,-0.02%
4/03/2024,82.911,82.845,82.935,82.83,,0.08%
1/03/2024,82.841,82.926,82.933,82.836,,-0.07%
29/02/2024,82.9,82.91,82.957,82.864,,0.00%
28/02/2024,82.9,82.924,82.967,82.863,,0.03%
27/02/2024,82.877,82.901,82.921,82.841,,0.04%
26/02/2024,82.846,82.873,82.914,82.851,,-0.02%
23/02/2024,82.859,82.845,82.965,82.845,,0.03%
22/02/2024,82.837,82.933,82.965,82.812,,-0.11%
21/02/2024,82.93,82.895,82.983,82.835,,0.05%
20/02/2024,82.89,83.031,83.043,82.862,,-0.16%
19/02/2024,83.026,82.987,83.061,82.949,,0.02%
16/02/2024,83.013,82.991,83.049,82.983,,0.03%
15/02/2024,82.988,83.035,83.075,82.982,,-0.06%
14/02/2024,83.034,83.104,83.12,83.015,,-0.08%
13/02/2024,83.098,83.008,83.121,82.963,,0.15%
12/02/2024,82.97,83.025,83.057,82.951,,-0.04%
9/02/2024,83,82.984,83.059,82.945,,0.03%
8/02/2024,82.978,82.981,83.021,82.893,,0.00%
7/02/2024,82.977,83.07,83.091,82.934,,-0.10%
6/02/2024,83.062,83.044,83.079,83.015,,0.03%
5/02/2024,83.036,83.011,83.095,82.956,,0.04%
2/02/2024,82.999,82.952,83.027,82.826,,0.06%
1/02/2024,82.947,83.083,83.091,82.915,,-0.18%
31/01/2024,83.095,83.1,83.132,82.998,,-0.03%
30/01/2024,83.12,83.136,83.177,83.087,,-0.02%
29/01/2024,83.134,83.149,83.173,83.118,,0.02%
26/01/2024,83.115,83.17,83.173,83.079,,-0.03%
25/01/2024,83.144,83.141,83.177,83.077,,0.02%
24/01/2024,83.13,83.164,83.184,83.067,,-0.02%
23/01/2024,83.15,83.096,83.188,83.061,,0.06%
22/01/2024,83.1,83.077,83.185,83.059,,0.02%
19/01/2024,83.086,83.187,83.192,83.036,,-0.09%
18/01/2024,83.165,83.197,83.205,83.098,,-0.02%
17/01/2024,83.182,83.085,83.217,83.035,,0.12%
16/01/2024,83.084,82.832,83.15,82.829,,0.31%
15/01/2024,82.827,82.835,82.929,82.775,,-0.04%
12/01/2024,82.857,83.068,83.104,82.779,,-0.25%
11/01/2024,83.063,83.004,83.121,82.93,,0.05%
10/01/2024,83.023,83.113,83.185,82.959,,-0.10%
9/01/2024,83.109,83.053,83.149,83.029,,0.08%
8/01/2024,83.045,83.124,83.178,83.026,,-0.07%
5/01/2024,83.103,83.235,83.286,83.067,,-0.17%
4/01/2024,83.243,83.294,83.335,83.195,,-0.05%
3/01/2024,83.282,83.279,83.348,83.244,,0.01%
2/01/2024,83.27,83.179,83.359,83.179,,0.04%
1/01/2024,83.238,83.24,83.243,83.15,,0.06%
29/12/2023,83.19,83.174,83.242,83.099,,0.03%
28/12/2023,83.169,83.268,83.318,83.125,,-0.11%
27/12/2023,83.263,83.163,83.368,83.163,,0.13%
26/12/2023,83.158,83.169,83.218,83.105,,-0.01%
25/12/2023,83.164,83.179,83.179,83.109,,0.00%
22/12/2023,83.166,83.221,83.275,83.102,,-0.06%
21/12/2023,83.214,83.166,83.291,83.156,,0.09%
20/12/2023,83.139,83.111,83.237,83.087,,0.04%
19/12/2023,83.106,83.153,83.228,83.07,,-0.05%
18/12/2023,83.144,83.018,83.173,82.91,,0.15%
15/12/2023,83.02,83.308,83.332,82.927,,-0.34%
14/12/2023,83.307,83.287,83.372,83.266,,-0.05%
13/12/2023,83.35,83.399,83.438,83.346,,-0.06%
12/12/2023,83.396,83.368,83.434,83.324,,0.06%
11/12/2023,83.35,83.409,83.451,83.349,,-0.09%
8/12/2023,83.425,83.354,83.465,83.335,,0.10%
7/12/2023,83.343,83.337,83.398,83.311,,0.01%
6/12/2023,83.332,83.325,83.381,83.286,,0.01%
5/12/2023,83.32,83.431,83.439,83.317,,-0.13%
4/12/2023,83.426,83.217,83.461,83.215,,0.20%
1/12/2023,83.26,83.356,83.375,83.24,,-0.12%
30/11/2023,83.357,83.359,83.419,83.29,,0.01%
29/11/2023,83.352,83.292,83.383,83.26,,0.01%
28/11/2023,83.34,83.358,83.399,83.292,,0.01%
27/11/2023,83.33,83.324,83.433,83.309,,-0.01%
24/11/2023,83.34,83.35,83.413,83.332,,0.04%
23/11/2023,83.305,83.276,83.368,83.265,,0.02%
22/11/2023,83.287,83.313,83.359,83.255,,-0.03%
21/11/2023,83.308,83.321,83.38,83.228,,-0.01%
20/11/2023,83.317,83.265,83.424,83.23,,0.09%
17/11/2023,83.244,83.161,83.303,83.161,,0.11%
16/11/2023,83.152,83.186,83.273,83.153,,-0.04%
15/11/2023,83.188,82.98,83.213,82.962,,0.26%
14/11/2023,82.973,83.209,83.278,82.906,,-0.25%
13/11/2023,83.18,83.309,83.343,83.201,,-0.15%
10/11/2023,83.309,83.302,83.499,83.224,,-0.01%
9/11/2023,83.315,83.232,83.341,83.216,,0.12%
8/11/2023,83.213,83.234,83.31,83.208,,-0.02%
7/11/2023,83.23,83.221,83.287,83.21,,0.01%
6/11/2023,83.218,83.107,83.263,83.085,,0.09%
3/11/2023,83.14,83.247,83.311,83.134,,-0.11%
2/11/2023,83.234,83.24,83.281,83.174,,0.00%
1/11/2023,83.237,83.278,83.337,83.225,,-0.02%
31/10/2023,83.256,83.26,83.293,83.221,,0.01%
30/10/2023,83.25,83.28,83.305,83.212,,-0.02%
27/10/2023,83.265,83.272,83.301,83.19,,0.03%
26/10/2023,83.243,83.163,83.269,83.131,,0.12%
25/10/2023,83.14,83.022,83.205,83.008,,0.16%
24/10/2023,83.01,83.031,83.102,82.956,,-0.07%
23/10/2023,83.071,83.16,83.206,83.085,,-0.10%
20/10/2023,83.15,83.15,83.216,83.012,,0.06%
19/10/2023,83.097,83.284,83.306,83.082,,-0.23%
18/10/2023,83.29,83.255,83.31,83.211,,0.06%
17/10/2023,83.24,83.215,83.289,83.186,,0.06%
16/10/2023,83.19,83.264,83.296,83.183,,-0.08%
13/10/2023,83.255,83.25,83.297,83.211,,-0.04%
12/10/2023,83.29,83.175,83.302,83.125,,0.16%
11/10/2023,83.16,83.217,83.246,83.116,,0.00%
10/10/2023,83.162,83.266,83.282,83.17,,-0.11%
9/10/2023,83.254,83.187,83.348,83.162,,0.16%
6/10/2023,83.118,83.218,83.303,83.121,,-0.10%
5/10/2023,83.2,83.214,83.305,83.178,,-0.06%
4/10/2023,83.25,83.235,83.346,83.173,,0.04%
3/10/2023,83.214,83.233,83.271,83.127,,0.05%
2/10/2023,83.174,83.165,83.234,83.123,,0.17%
29/09/2023,83.03,83.209,83.209,83.012,,-0.14%
28/09/2023,83.15,83.237,83.273,83.111,,-0.04%
27/09/2023,83.181,83.297,83.312,83.153,,-0.06%
26/09/2023,83.23,83.122,83.309,83.099,,0.12%
25/09/2023,83.13,83.057,83.179,83.029,,0.19%
22/09/2023,82.97,82.876,82.993,82.769,,-0.16%
21/09/2023,83.102,83.193,83.222,83.005,,0.22%
20/09/2023,82.92,83.261,83.297,82.924,,-0.47%
19/09/2023,83.31,83.25,83.344,83.17,,0.05%
18/09/2023,83.27,83.106,83.36,83.085,,0.24%
15/09/2023,83.069,83.063,83.202,82.981,,0.07%
14/09/2023,83.01,82.915,83.101,82.913,,0.09%
13/09/2023,82.934,82.873,83.039,82.855,,0.10%
12/09/2023,82.85,82.905,83.015,82.853,,-0.06%
11/09/2023,82.9,82.955,83.068,82.815,,-0.13%
8/09/2023,83.004,83.133,83.184,82.902,,-0.18%
7/09/2023,83.15,83.22,83.271,83.076,,-0.06%
6/09/2023,83.197,83.075,83.258,82.986,,0.20%
5/09/2023,83.033,82.753,83.097,82.712,,0.38%
4/09/2023,82.715,82.67,82.785,82.65,,0.03%
1/09/2023,82.689,82.647,82.784,82.576,,-0.02%
31/08/2023,82.702,82.678,82.799,82.582,,0.11%
30/08/2023,82.607,82.593,82.819,82.568,,0.04%
29/08/2023,82.574,82.646,82.842,82.576,,-0.03%
28/08/2023,82.6,82.585,82.662,82.527,,-0.04%
25/08/2023,82.637,82.605,82.74,82.532,,0.07%
24/08/2023,82.58,82.579,82.646,82.359,,0.09%
23/08/2023,82.508,83.082,83.09,82.449,,-0.64%
22/08/2023,83.04,83.113,83.122,82.909,,-0.06%
21/08/2023,83.09,83.193,83.217,83.021,,-0.06%
18/08/2023,83.14,83.086,83.221,83.018,,0.00%
17/08/2023,83.14,83.224,83.262,82.991,,-0.10%
16/08/2023,83.222,83.243,83.428,83.077,,-0.02%
15/08/2023,83.239,83.208,83.468,83.177,,0.07%
14/08/2023,83.18,82.877,83.292,82.877,,0.34%
11/08/2023,82.898,82.811,82.911,82.737,,0.31%
10/08/2023,82.644,82.839,82.88,82.59,,-0.27%
9/08/2023,82.871,82.877,82.88,82.797,,-0.01%
8/08/2023,82.88,82.76,82.984,82.76,,0.12%
7/08/2023,82.778,82.74,82.785,82.689,,0.10%
4/08/2023,82.696,82.762,82.892,82.674,,-0.07%
3/08/2023,82.755,82.699,82.815,82.665,,0.02%
2/08/2023,82.735,82.33,82.788,82.313,,0.47%
1/08/2023,82.345,82.235,82.345,82.205,,0.12%
31/07/2023,82.245,82.203,82.301,82.203,,-0.01%
28/07/2023,82.253,82.178,82.377,82.178,,0.12%
27/07/2023,82.155,81.929,82.234,81.869,,0.24%
26/07/2023,81.955,81.876,82.068,81.855,,0.12%
25/07/2023,81.855,81.799,81.904,81.667,,0.07%
24/07/2023,81.795,82.01,82.045,81.778,,-0.24%
21/07/2023,81.99,82.074,82.088,81.922,,-0.11%
20/07/2023,82.08,82.044,82.08,81.897,,0.03%
19/07/2023,82.055,82.062,82.158,82.015,,-0.01%
18/07/2023,82.065,82.04,82.093,81.957,,0.02%
17/07/2023,82.05,82.132,82.215,81.979,,-0.03%
14/07/2023,82.077,82.011,82.215,81.943,,0.03%
13/07/2023,82.05,81.982,82.15,81.952,,0.08%
12/07/2023,81.985,82.392,82.4,81.945,,-0.50%
11/07/2023,82.395,82.526,82.551,82.322,,-0.16%
10/07/2023,82.525,82.645,82.689,82.515,,-0.11%
7/07/2023,82.615,82.763,82.764,82.522,,-0.18%
6/07/2023,82.766,82.391,82.818,82.293,,0.44%
5/07/2023,82.403,82.023,82.413,81.995,,0.52%
4/07/2023,81.974,81.978,82.059,81.892,,0.04%
3/07/2023,81.945,82.036,82.058,81.755,,-0.18%
30/06/2023,82.096,82.075,82.128,81.991,,-0.01%
29/06/2023,82.105,82.012,82.121,81.978,,0.09%
28/06/2023,82.03,81.971,82.091,81.969,,0.02%
27/06/2023,82.011,82.029,82.059,81.942,,0.04%
26/06/2023,81.975,81.95,82.071,81.935,,-0.01%
23/06/2023,81.985,81.912,82.083,81.912,,0.03%
22/06/2023,81.96,81.941,82.01,81.875,,0.02%
21/06/2023,81.94,81.981,82.14,81.94,,-0.08%
20/06/2023,82.005,81.915,82.173,81.915,,0.11%
19/06/2023,81.915,81.976,82.013,81.867,,0.00%
16/06/2023,81.915,81.913,82.025,81.825,,0.01%
15/06/2023,81.905,82.045,82.26,81.905,,-0.07%
14/06/2023,81.96,82.231,82.335,81.898,,-0.34%
13/06/2023,82.24,82.384,82.481,82.146,,-0.21%
12/06/2023,82.415,82.458,82.517,82.415,,-0.04%
9/06/2023,82.445,82.505,82.507,82.396,,-0.09%
8/06/2023,82.516,82.641,82.641,82.493,,0.01%
7/06/2023,82.51,82.51,82.584,82.45,,-0.01%
6/06/2023,82.515,82.511,82.655,82.472,,-0.01%
5/06/2023,82.525,82.434,82.685,82.394,,0.15%
2/06/2023,82.403,82.271,82.424,82.257,,0.15%
1/06/2023,82.277,82.672,82.674,82.268,,-0.50%
31/05/2023,82.69,82.629,82.777,82.61,,0.00%
30/05/2023,82.692,82.554,82.815,82.554,,0.09%
29/05/2023,82.614,82.589,82.703,82.534,,0.05%
26/05/2023,82.575,82.745,82.745,82.522,,-0.20%
25/05/2023,82.742,82.678,82.809,82.653,,0.08%
24/05/2023,82.675,82.855,82.886,82.564,,-0.19%
23/05/2023,82.835,82.825,82.876,82.743,,-0.01%
22/05/2023,82.845,82.798,82.895,82.727,,-0.07%
19/05/2023,82.905,82.77,82.953,82.632,,0.22%
18/05/2023,82.725,82.443,82.778,82.347,,0.39%
17/05/2023,82.405,82.248,82.447,82.248,,0.14%
16/05/2023,82.291,82.237,82.319,82.181,,0.03%
15/05/2023,82.267,82.249,82.402,82.207,,0.08%
12/05/2023,82.201,82.127,82.252,82.118,,0.12%
11/05/2023,82.1,81.919,82.19,81.887,,0.21%
10/05/2023,81.925,82.125,82.125,81.882,,-0.24%
9/05/2023,82.125,81.782,82.175,81.779,,0.42%
